record_id,league,date,split,game_id,game_number,patch,side,team,player,position,champion,outcome,kills,deaths,assists,kda,total_gold,total_cs,damage_to_champions,game_minutes
LPL2025-0001,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Blue,Weibo Gaming,Breathe,top,K'Sante,Win,4,0,3,7.0,14706,314,9830,35.4
LPL2025-0002,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Blue,Weibo Gaming,Tian,jng,Viego,Win,4,0,5,9.0,14586,273,10013,35.4
LPL2025-0003,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Blue,Weibo Gaming,Xiaohu,mid,Aurora,Win,5,1,8,13.0,15720,286,37571,35.4
LPL2025-0004,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Blue,Weibo Gaming,Light,bot,Ashe,Win,3,2,6,4.5,14688,305,15603,35.4
LPL2025-0005,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Blue,Weibo Gaming,Hang,sup,Braum,Win,1,2,11,6.0,9762,38,6292,35.4
LPL2025-0006,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Red,Oh My God,Hery,top,Gnar,Loss,1,2,0,0.5,13675,315,19638,35.4
LPL2025-0007,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Red,Oh My God,Heng,jng,Nocturne,Loss,2,4,1,0.75,11555,233,10950,35.4
LPL2025-0008,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Red,Oh My God,Linfeng,mid,Orianna,Loss,0,3,3,1.0,12645,300,17334,35.4
LPL2025-0009,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Red,Oh My God,Starry,bot,Varus,Loss,2,4,2,1.0,13590,315,15996,35.4
LPL2025-0010,LPL,2025-01-12,Split 1,11715-11715_game_1,1,15.01,Red,Oh My God,Moham,sup,Neeko,Loss,0,4,3,0.75,7787,54,11047,35.4
LPL2025-0011,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Blue,Oh My God,Hery,top,Rumble,Loss,6,1,4,10.0,13540,263,29081,32.5
LPL2025-0012,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Blue,Oh My God,Heng,jng,Maokai,Loss,1,6,7,1.33,10590,182,15910,32.5
LPL2025-0013,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Blue,Oh My God,Linfeng,mid,Ambessa,Loss,4,4,2,1.5,11620,261,18086,32.5
LPL2025-0014,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Blue,Oh My God,Starry,bot,Jhin,Loss,0,3,5,1.67,11488,287,7261,32.5
LPL2025-0015,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Blue,Oh My God,Moham,sup,Rell,Loss,0,4,9,2.25,7043,38,4188,32.5
LPL2025-0016,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Red,Weibo Gaming,Breathe,top,Jayce,Win,5,3,7,4.0,12691,238,16011,32.5
LPL2025-0017,LPL,2025-01-12,Split 1,11715-11715_game_2,2,15.01,Red,Weibo Gaming,Tian,jng,Wukong,Win,6,2,6,6.0,13963,236,14116,32.5
