section_key,cluster,cluster_name,count
Part 1: General Information | Introduction,2,Credit & study pathways,1
Part 1: General Information | Introduction,7,"Health, environment & policy",1
Part 1: General Information | Introduction,6,Learning & student support,1
Part 1: General Information | Mission Statement,2,Credit & study pathways,1
Part 1: General Information | Statement on Diversity and Inclusion,2,Credit & study pathways,1
Part 1: General Information | Who We Are,2,Credit & study pathways,5
Part 1: General Information | Partners,2,Credit & study pathways,6
Part 1: General Information | Partners,6,Learning & student support,1
Part 1: General Information | Partners,1,Chinese language & culture,1
Part 1: General Information | Duke Kunshan University Community Standard,2,Credit & study pathways,1
Part 2: A Liberal Arts Education at Duke Kunshan University | A 21st Century Curriculum,2,Credit & study pathways,1
Part 2: A Liberal Arts Education at Duke Kunshan University | A Liberal Arts College Experience,2,Credit & study pathways,1
Part 2: A Liberal Arts Education at Duke Kunshan University | Dual Degrees,2,Credit & study pathways,1
Part 2: A Liberal Arts Education at Duke Kunshan University | Animating Principles,2,Credit & study pathways,1
Part 2: A Liberal Arts Education at Duke Kunshan University | Animating Principles,4,"History, politics & society",1
Part 2: A Liberal Arts Education at Duke Kunshan University | Animating Principles,6,Learning & student support,3
Part 2: A Liberal Arts Education at Duke Kunshan University | Animating Principles,7,"Health, environment & policy",1
Part 2: A Liberal Arts Education at Duke Kunshan University | Animating Principles,0,Arts & digital media,2
Part 3: The Curriculum | Overview,2,Credit & study pathways,2
Part 3: The Curriculum | Overview,6,Learning & student support,2
Part 3: The Curriculum | Key Components,2,Credit & study pathways,2
Part 3: The Curriculum | Key Components,6,Learning & student support,5
Part 3: The Curriculum | Key Components,3,Registration & academic standing,5
Part 3: The Curriculum | Degree Requirements,6,Learning & student support,8
Part 3: The Curriculum | Degree Requirements,3,Registration & academic standing,7
Part 3: The Curriculum | Degree Requirements,2,Credit & study pathways,13
Part 3: The Curriculum | Degree Requirements,5,Science & computing,1
"Part 4: Admission, Scholarships and Financial Aid | Principles of Selection",2,Credit & study pathways,2
"Part 4: Admission, Scholarships and Financial Aid | Application Timelines",3,Registration & academic standing,1
"Part 4: Admission, Scholarships and Financial Aid | Application Timelines",2,Credit & study pathways,1
"Part 4: Admission, Scholarships and Financial Aid | Application Requirements",3,Registration & academic standing,1
"Part 4: Admission, Scholarships and Financial Aid | Scholarships and Financial Aid",2,Credit & study pathways,3
Part 5: Financial Information | Tuition and Fees,3,Registration & academic standing,2
Part 5: Financial Information | Estimated Expenses,3,Registration & academic standing,10
Part 5: Financial Information | Estimated Expenses,2,Credit & study pathways,1
Part 5: Financial Information | Estimated Expenses,1,Chinese language & culture,3
Part 5: Financial Information | Refund,3,Registration & academic standing,9
Part 6: Academic Procedures and Information | Academic Integrity,2,Credit & study pathways,2
Part 6: Academic Procedures and Information | Academic Integrity,3,Registration & academic standing,2
Part 6: Academic Procedures and Information | Academic Integrity,5,Science & computing,1
Part 6: Academic Procedures and Information | Entrance Credit and Placement,2,Credit & study pathways,10
Part 6: Academic Procedures and Information | Entrance Credit and Placement,3,Registration & academic standing,2
Part 6: Academic Procedures and Information | Entrance Credit and Placement,6,Learning & student support,1
Part 6: Academic Procedures and Information | Entrance Credit and Placement,1,Chinese language & culture,1
Part 6: Academic Procedures and Information | Transfer of Work Taken Elsewhere,2,Credit & study pathways,9
Part 6: Academic Procedures and Information | Time Limit for Completing Undergraduate Degree,2,Credit & study pathways,1
Part 6: Academic Procedures and Information | Registration,3,Registration & academic standing,6
Part 6: Academic Procedures and Information | Registration,2,Credit & study pathways,1
Part 6: Academic Procedures and Information | Undergraduate Course Load,3,Registration & academic standing,12
Part 6: Academic Procedures and Information | Eligibility for Courses,2,Credit & study pathways,1
Part 6: Academic Procedures and Information | Eligibility for Courses,3,Registration & academic standing,2
Part 6: Academic Procedures and Information | Course Repeat,2,Credit & study pathways,2
Part 6: Academic Procedures and Information | Course Repeat,3,Registration & academic standing,4
Part 6: Academic Procedures and Information | Course Audit,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Two-Credit Writing Courses,6,Learning & student support,1
Part 6: Academic Procedures and Information | Independent Studies,6,Learning & student support,2
Part 6: Academic Procedures and Information | Submission of Term Paper,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Declaration of Major,2,Credit & study pathways,2
Part 6: Academic Procedures and Information | Class Attendance and Missed Work,3,Registration & academic standing,3
Part 6: Academic Procedures and Information | Class Scheduling,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Incomplete Coursework and Excused Absence from Final Exam,3,Registration & academic standing,3
Part 6: Academic Procedures and Information | Final Examinations,3,Registration & academic standing,3
Part 6: Academic Procedures and Information | Grading and Grade Requirements,3,Registration & academic standing,15
Part 6: Academic Procedures and Information | Grading and Grade Requirements,2,Credit & study pathways,4
Part 6: Academic Procedures and Information | Progress toward Degree,3,Registration & academic standing,5
"Part 6: Academic Procedures and Information | Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",3,Registration & academic standing,9
"Part 6: Academic Procedures and Information | Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",3,Registration & academic standing,7
Part 6: Academic Procedures and Information | Changes in Status,3,Registration & academic standing,7
Part 6: Academic Procedures and Information | Changes in Status,2,Credit & study pathways,5
Part 6: Academic Procedures and Information | Academic Recognition and Honors,2,Credit & study pathways,1
Part 6: Academic Procedures and Information | Academic Recognition and Honors,3,Registration & academic standing,3
Part 6: Academic Procedures and Information | Notification of Intention to Graduate,2,Credit & study pathways,1
Part 6: Academic Procedures and Information | Graduation and Commencement,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Education Records,2,Credit & study pathways,3
Part 6: Academic Procedures and Information | Education Records,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | The Provision of Academic Information to Parents and Guardians,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Procedure for Resolution of Students' Academic Concerns,2,Credit & study pathways,1
Part 6: Academic Procedures and Information | Procedure for Resolution of Students' Academic Concerns,6,Learning & student support,1
Part 6: Academic Procedures and Information | Procedure for Resolution of Students' Academic Concerns,3,Registration & academic standing,3
Part 6: Academic Procedures and Information | Grade Review Procedure,3,Registration & academic standing,5
Part 6: Academic Procedures and Information | Exclusion of Disruptive Students from a Course,6,Learning & student support,1
Part 6: Academic Procedures and Information | Exclusion of Disruptive Students from a Course,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Compliance with Academic Regulations,3,Registration & academic standing,1
Part 6: Academic Procedures and Information | Religious Holidays,2,Credit & study pathways,1
Part 7: Academic Advising and Support | Introduction,6,Learning & student support,1
Part 7: Academic Advising and Support | Academic Advising,6,Learning & student support,3
Part 7: Academic Advising and Support | Academic Advising,2,Credit & study pathways,1
Part 7: Academic Advising and Support | Academic Resource Center,6,Learning & student support,5
Part 7: Academic Advising and Support | Seven Principles of Duke Kunshan University Academic Advising,6,Learning & student support,6
"Part 8: Career Services, Study Away, and Research Opportunities | Career Services",2,Credit & study pathways,4
"Part 8: Career Services, Study Away, and Research Opportunities | Career Services",6,Learning & student support,5
"Part 8: Career Services, Study Away, and Research Opportunities | Career Services",1,Chinese language & culture,1
"Part 8: Career Services, Study Away, and Research Opportunities | Career Services",3,Registration & academic standing,1
"Part 8: Career Services, Study Away, and Research Opportunities | Student Research Opportunities",2,Credit & study pathways,2
"Part 8: Career Services, Study Away, and Research Opportunities | Office of Global Education and Study Away",2,Credit & study pathways,13
"Part 8: Career Services, Study Away, and Research Opportunities | Office of Global Education and Study Away",3,Registration & academic standing,5
"Part 8: Career Services, Study Away, and Research Opportunities | Office of Global Education and Study Away",6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Student Affairs,6,Learning & student support,2
Part 9: Student Affairs and Campus Life | Student Affairs Conceptual Framework,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Residence Life,6,Learning & student support,2
Part 9: Student Affairs and Campus Life | Accommodations,3,Registration & academic standing,2
Part 9: Student Affairs and Campus Life | Accommodations,6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Leadership Development,6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Campus Engagement,6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Arts and Culture,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Blue Oasis Student Center,6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Campus Programs,2,Credit & study pathways,2
Part 9: Student Affairs and Campus Life | Campus Programs,1,Chinese language & culture,1
Part 9: Student Affairs and Campus Life | Student Clubs and Organizations,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Athletics & University Sports,6,Learning & student support,4
Part 9: Student Affairs and Campus Life | Athletics & University Sports,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Counseling and Psychological Services (CAPS),6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Counseling and Psychological Services (CAPS),2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Campus Health Clinic,6,Learning & student support,1
Part 9: Student Affairs and Campus Life | Chinese Student Services and Student Mobility,3,Registration & academic standing,1
Part 9: Student Affairs and Campus Life | Chinese Student Services and Student Mobility,1,Chinese language & culture,1
Part 9: Student Affairs and Campus Life | International Student Services,1,Chinese language & culture,1
Part 9: Student Affairs and Campus Life | International Student Services,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Host Family Program,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Student Conduct,2,Credit & study pathways,1
Part 9: Student Affairs and Campus Life | Student Conduct,3,Registration & academic standing,1
Part 9: Student Affairs and Campus Life | Student Conduct,6,Learning & student support,1
Part 10: Majors and Courses | Requirements for All Majors,3,Registration & academic standing,4
Part 10: Majors and Courses | Majors (listed in alphabetical order),5,Science & computing,23
Part 10: Majors and Courses | Majors (listed in alphabetical order),3,Registration & academic standing,9
Part 10: Majors and Courses | Majors (listed in alphabetical order),6,Learning & student support,10
Part 10: Majors and Courses | Majors (listed in alphabetical order),7,"Health, environment & policy",15
Part 10: Majors and Courses | Majors (listed in alphabetical order),0,Arts & digital media,5
Part 10: Majors and Courses | Majors (listed in alphabetical order),4,"History, politics & society",7
Part 10: Majors and Courses | Majors (listed in alphabetical order),1,Chinese language & culture,5
Part 10: Majors and Courses | Course Descriptions,3,Registration & academic standing,4
Part 10: Majors and Courses | Course Descriptions,0,Arts & digital media,73
Part 10: Majors and Courses | Course Descriptions,7,"Health, environment & policy",104
Part 10: Majors and Courses | Course Descriptions,6,Learning & student support,65
Part 10: Majors and Courses | Course Descriptions,5,Science & computing,141
Part 10: Majors and Courses | Course Descriptions,4,"History, politics & society",128
Part 10: Majors and Courses | Course Descriptions,1,Chinese language & culture,76
Part 10: Majors and Courses | Course Descriptions,2,Credit & study pathways,6
